,Size,Edges,Density,O1 Time,O2 Time,Outerplanar Struct Time,BFS Time,Snap BFS,DFS Time,Factor,Samples,Not Outerplanar Samplings,Not Maximal Samplings,Avg. Maximal Output Edges,Std. Maximal Output Edges,Avg. Output Edges,Std. Output Edges,Avg. Missing Edges per Graph,Std. Missing Edges per Graph,Avg. % of Maximal outerplanar graph,Std. % of Maximal outerplanar graph,Avg. Component Number,Std. Component Number,Avg. Biggest Component,Std. Biggest Component,Avg. Face Number,Std. Face Number
,100,247,0.049899,0.008153,0.031956,0.023803,0.006704,0.048366,0.006793,1.216140,100,0,19,117.640000,2.833850,117.430000,2.807835,0.210000,0.456048,99.822637,0.384952,35.060000,6.248749,40.790000,14.664804,10.730000,4.343473
,100,346,0.069899,0.009014,0.059224,0.050210,0.007735,0.040249,0.007243,1.165352,100,0,26,123.770000,3.087462,123.450000,3.098957,0.320000,0.583961,99.742156,0.469216,25.200000,5.382351,45.130000,17.182123,13.810000,5.439651
,100,445,0.089899,0.010036,0.035842,0.025806,0.008356,0.027890,0.008277,1.201053,100,0,28,129.490000,2.955888,129.160000,2.960071,0.330000,0.569512,99.745947,0.437004,20.060000,4.567828,45.910000,16.689133,16.370000,6.014553
,100,495,0.100000,0.030823,0.054840,0.024017,0.008680,0.027612,0.008896,3.551037,100,0,28,131.500000,3.276793,131.120000,3.346278,0.380000,0.693112,99.710951,0.526679,18.780000,4.222547,48.010000,16.340750,17.980000,6.048591
,100,594,0.120000,0.011187,0.035207,0.024020,0.045494,0.030936,0.009386,0.245901,100,0,37,135.650000,4.115443,135.200000,4.109609,0.450000,0.657129,99.669326,0.485405,16.600000,3.897681,46.370000,17.176831,18.680000,6.952770
,100,544,0.109899,0.010822,0.062827,0.052005,0.041093,0.075443,0.032715,0.263354,100,0,33,134.620000,3.277656,134.250000,3.239201,0.370000,0.580056,99.726580,0.429599,17.120000,4.281225,47.070000,17.825334,18.800000,7.268307
,100,693,0.140000,0.012291,0.039443,0.027152,0.010304,0.034215,0.061858,1.192838,100,0,33,140.600000,3.330302,140.210000,3.269989,0.390000,0.617833,99.724369,0.437720,14.210000,3.488205,46.600000,18.279535,21.430000,8.564969
,100,643,0.129899,0.012010,0.036768,0.024758,0.010542,0.040325,0.014131,1.139253,100,0,22,138.210000,3.882868,137.910000,3.824681,0.300000,0.659047,99.785089,0.471670,15.040000,4.019950,49.300000,17.565174,21.390000,8.050215
,100,247,0.049899,0.007923,0.030958,0.023035,0.006654,0.019386,0.006612,1.190712,100,0,16,117.260000,2.787490,117.080000,2.706819,0.180000,0.435310,99.848642,0.364208,33.650000,5.784645,42.390000,15.275844,10.310000,3.883909
,100,346,0.069899,0.011444,0.034739,0.023295,0.007430,0.023176,0.007374,1.540242,100,0,29,123.830000,2.832192,123.470000,2.724579,0.360000,0.643852,99.712350,0.510307,25.350000,5.707296,45.730000,18.418729,13.890000,5.706447
,100,445,0.089899,0.009920,0.046880,0.036960,0.010861,0.031426,0.008452,0.913360,100,0,26,129.320000,3.299464,129.000000,3.241150,0.320000,0.583961,99.754520,0.448828,21.220000,4.484722,47.820000,14.482577,16.950000,5.360490
,100,495,0.100000,0.010579,0.034626,0.024047,0.009805,0.028195,0.008605,1.078939,100,0,15,131.370000,3.727200,131.180000,3.674592,0.190000,0.486069,99.856996,0.367106,19.210000,4.789076,45.670000,16.556640,17.100000,6.365151
